iter	Accuracy	MultiClass
0	0.6276246719	-2.24404707
1	0.6581364829	-16311.9252
2	0.6699475066	-16378.33858
3	0.6433727034	-16378.26903
4	0.654855643	-16378.1916
5	0.7060367454	-16378.05512
6	0.7148950131	-16377.94488
7	0.720144357	-16368.37533
8	0.7368766404	-16368.25328
9	0.7431102362	-16368.12467
10	0.7621391076	-68.48966535
11	0.7755905512	-68.40917712
12	0.7933070866	-68.3565299
13	0.8044619423	-68.29742352
14	0.8198818898	-40.44069113
15	0.8208661417	-40.40797244
16	0.8287401575	-40.37169097
17	0.8385826772	-40.34509566
18	0.8549868766	-40.26111385
19	0.8572834646	-40.17898007
20	0.8648293963	-40.16429318
21	0.8671259843	-40.14439284
22	0.8704068241	-40.12657634
23	0.8615485564	-40.14999077
24	0.8710629921	-40.10560716
25	0.8795931759	-40.07588993
26	0.8861548556	-40.05899617
27	0.8910761155	-40.04459892
28	0.8963254593	-39.76184178
29	0.8986220472	-39.74320764
30	0.9081364829	-39.6711727
31	0.9137139108	-11.86198045
32	0.9176509186	-11.86210604
33	0.9258530184	-11.84509309
34	0.9301181102	-11.82858637
35	0.9307742782	-11.82787125
36	0.9304461942	-11.77633771
37	0.9350393701	-11.76290934
38	0.937007874	-11.75591064
39	0.9412729659	-11.39830422
40	0.9419291339	-11.39196169
41	0.9468503937	-11.38799905
42	0.9484908136	-11.37461681
43	0.9488188976	-11.35144588
44	0.9530839895	-11.34431389
45	0.9573490814	-11.32308968
46	0.9586614173	-11.31770961
47	0.9573490814	-11.31452233
48	0.9625984252	-11.30478618
49	0.9635826772	-11.29669686
50	0.967519685	-5.73114286
51	0.9639107612	-5.730684055
52	0.967847769	-5.722861302
53	0.968175853	-5.721243951
54	0.9609580052	-5.73082631
55	0.9609580052	-5.714748272
56	0.9662073491	-5.707004978
57	0.968175853	-5.699820451
58	0.970144357	-5.696012242
59	0.9717847769	-5.692649381
60	0.9737532808	-5.688991116
61	0.9770341207	-5.682970262
62	0.9812992126	-5.680018788
63	0.9812992126	-5.676632859
64	0.9826115486	-5.671695579
65	0.9826115486	-5.669009391
66	0.9845800525	-5.666822378
67	0.9865485564	-5.661727465
68	0.9891732283	-5.659198911
69	0.9881889764	-5.657674474
70	0.9895013123	-5.655322137
71	0.9845800525	-5.660703484
72	0.9888451444	-5.652377071
73	0.9819553806	-5.656881818
74	0.9878608924	-5.65085776
75	0.9885170604	-5.646916267
76	0.9898293963	-0.08445982044
77	0.9908136483	-0.08314801514
78	0.9927821522	-0.08108012382
79	0.9940944882	-0.07883579024
80	0.9931102362	-0.07783664994
81	0.9950787402	-0.07663646207
82	0.9954068241	-0.07540320349
83	0.9940944882	-0.07413391554
84	0.9954068241	-0.07257461047
85	0.9967191601	-0.07104742496
86	0.9970472441	-0.07003697573
87	0.9957349081	-0.07023481434
88	0.9970472441	-0.06946735432
89	0.9967191601	-0.06850540482
90	0.9970472441	-0.06746937909
91	0.9970472441	-0.06640503851
92	0.9973753281	-0.06566253422
93	0.9977034121	-0.06436860092
94	0.9977034121	-0.06287897165
95	0.9980314961	-0.06202886486
96	0.9983595801	-0.06122579099
97	0.998687664	-0.06016325262
98	0.998687664	-0.05919091533
99	0.998687664	-0.05823858266
100	0.998687664	-0.05751310934
101	0.9983595801	-0.05703890042
102	0.999015748	-0.05612494501
103	0.998687664	-0.05521549015
104	0.998687664	-0.05468344501
105	0.998687664	-0.05399673943
106	0.999015748	-0.05375193799
107	0.999015748	-0.05293156782
108	0.998687664	-0.05229019305
109	0.998687664	-0.05186796814
110	0.999343832	-0.04600725149
111	0.999015748	-0.04536875527
112	0.999343832	-0.04488762783
113	0.999671916	-0.04396453617
114	0.999671916	-0.04345429288
115	0.999671916	-0.04258996358
116	0.999671916	-0.04216847457
117	0.999671916	-0.04145655044
118	0.999671916	-0.04099783059
119	0.999343832	-0.04065229261
120	0.999671916	-0.04026659768
121	0.999671916	-0.03997053061
122	0.999671916	-0.03933477527
123	0.999671916	-0.03887162747
124	0.999671916	-0.03842307764
125	0.999343832	-0.03800584388
126	0.999671916	-0.03748616897
127	0.999671916	-0.03702964182
128	0.999671916	-0.03654995615
129	0.999671916	-0.03610740872
130	0.999671916	-0.03564265894
131	0.999671916	-0.03527563951
132	0.999671916	-0.03479701015
133	0.999671916	-0.03428654408
134	0.999671916	-0.03389873655
135	0.999671916	-0.03338278122
136	0.999671916	-0.03284927178
137	0.999671916	-0.03245377979
138	0.999671916	-0.03204877358
139	0.999671916	-0.0316756241
140	0.999671916	-0.03144552076
141	0.999671916	-0.03121396563
142	0.999671916	-0.03093603339
143	0.999671916	-0.03072022766
144	0.999343832	-0.03105773325
145	0.999343832	-0.03077714525
146	0.999343832	-0.03052964799
147	0.999343832	-0.03021996416
148	0.999343832	-0.029892964
149	0.999343832	-0.02973807077
150	0.999343832	-0.02956703266
151	0.999343832	-0.0292959814
152	0.999343832	-0.02906291691
153	0.999343832	-0.0288399799
154	0.999343832	-0.02858990697
155	0.999343832	-0.02839222105
156	0.999343832	-0.02805741378
157	0.999343832	-0.02787219821
158	0.999343832	-0.02770947284
159	0.999343832	-0.02744881938
160	0.999343832	-0.02716421142
161	0.999343832	-0.02690933508
162	0.999343832	-0.02675303261
163	0.999343832	-0.02658992427
164	0.999343832	-0.02638270911
165	0.999343832	-0.02609737026
166	0.999343832	-0.02595031919
167	0.999343832	-0.02571755006
168	0.999343832	-0.02554263968
169	0.999343832	-0.02539061248
170	0.999343832	-0.02523056541
171	0.999343832	-0.02503861655
172	0.999343832	-0.02489517242
173	0.999343832	-0.02474845426
174	0.999343832	-0.02461693982
175	0.999343832	-0.02433617659
176	0.999343832	-0.0241372917
177	0.999343832	-0.02391082283
178	0.999015748	-0.02440605764
179	0.999015748	-0.02427405009
180	0.999015748	-0.02402476814
181	0.999015748	-0.02382444146
182	0.999015748	-0.02367470709
183	0.999015748	-0.02350587419
