iter	Passed	Remaining
0	152	1525658
1	331	1656014
2	530	1769284
3	692	1731742
4	843	1686501
5	1007	1678067
6	1161	1658102
7	1323	1652453
8	1466	1627539
9	1602	1600822
10	1758	1597275
11	1897	1579471
12	2037	1565621
13	2177	1553525
14	2336	1555055
15	2488	1552834
16	2626	1542395
17	2765	1533630
18	2931	1539840
19	3073	1533922
20	3211	1526293
21	3337	1513484
22	3479	1509205
23	3606	1499191
24	3758	1499483
25	3923	1505110
26	4060	1500005
27	4196	1494674
28	4342	1492962
29	4480	1488992
30	4622	1486624
31	4741	1476913
32	4872	1471762
33	5015	1470168
34	5176	1473864
35	5316	1471441
36	5453	1468403
37	5589	1465297
38	5711	1458721
39	5838	1453893
40	5970	1450214
41	6113	1449458
42	6261	1449853
43	6408	1450123
44	6537	1446151
45	6687	1447082
46	6822	1444669
47	6950	1441132
48	7098	1441675
49	7238	1440460
50	7370	1437791
51	7496	1434191
52	7634	1432806
53	7758	1429087
54	7883	1425431
55	8025	1425152
56	8180	1427074
57	8336	1428977
58	8476	1428238
59	8616	1427503
60	8761	1427601
61	8906	1427665
62	9038	1425632
63	9165	1422981
64	9294	1420620
65	9436	1420332
66	9577	1419944
67	9722	1420104
68	9874	1421227
69	10014	1420643
70	10145	1418835
71	10265	1415472
72	10397	1413922
73	10524	1411764
74	10674	1412587
75	10814	1412192
76	10956	1411940
77	11090	1410718
78	11224	1409550
79	11359	1408603
80	11487	1406752
81	11620	1405464
82	11754	1404442
83	11894	1404158
84	12037	1404105
85	12159	1401726
86	12282	1399477
87	12402	1396998
88	12533	1395719
89	12651	1393044
90	12776	1391204
91	12908	1390203
92	13041	1389318
93	13170	1387946
94	13297	1386428
95	13420	1384591
96	13555	1383939
97	13684	1382684
98	13814	1381584
99	13932	1379269
100	14060	1378063
101	14186	1376653
102	14308	1374828
103	14435	1373619
104	14560	1372196
105	14686	1370835
106	14809	1369276
107	14943	1368695
108	15073	1367821
109	15201	1366754
110	15331	1365884
111	15463	1365224
112	15592	1364292
113	15730	1364174
114	15855	1362924
115	15993	1362766
116	16117	1361448
117	16254	1361214
118	16376	1359785
119	16496	1358225
120	16614	1356469
121	16736	1355136
122	16861	1354006
123	16991	1353294
124	17112	1351909
125	17231	1350378
126	17362	1349753
127	17497	1349485
128	17631	1349121
129	17768	1349068
130	17895	1348199
131	18022	1347347
132	18160	1347256
133	18296	1347113
134	18422	1346174
135	18561	1346274
136	18695	1345964
137	18823	1345221
138	18948	1344255
139	19087	1344327
140	19207	1343025
141	19327	1341759
142	19451	1340770
143	19575	1339820
144	19712	1339748
145	19839	1339019
146	19964	1338137
147	20109	1338660
148	20245	1338487
149	20363	1337180
150	20480	1335829
151	20611	1335424
152	20744	1335094
153	20866	1334085
154	20993	1333414
155	21117	1332563
156	21246	1332027
157	21369	1331126
158	21493	1330298
159	21612	1329151
160	21746	1328969
161	21873	1328348
162	22003	1327888
163	22129	1327243
164	22250	1326256
165	22375	1325519
166	22500	1324841
167	22625	1324148
168	22742	1322954
169	22860	1321863
170	22976	1320659
171	23100	1319937
172	23222	1319104
173	23343	1318248
174	23462	1317237
175	23587	1316616
176	23721	1316448
177	23851	1316113
178	23972	1315277
179	24097	1314677
180	24223	1314108
181	24348	1313465
182	24472	1312833
183	24589	1311789
184	24709	1310915
185	24823	1309774
186	24940	1308789
187	25063	1308092
188	25192	1307748
189	25304	1306507
190	25421	1305521
191	25541	1304736
192	25659	1303825
193	25780	1303087
194	25904	1302512
195	26024	1301766
196	26160	1301790
197	26275	1300756
198	26397	1300126
199	26515	1299271
200	26638	1298665
201	26766	1298300
202	26896	1298048
203	27022	1297602
204	27143	1296928
205	27275	1296793
206	27401	1296332
207	27524	1295766
208	27640	1294856
209	27771	1294673
210	27895	1294188
211	28017	1293564
212	28135	1292762
213	28263	1292467
214	28384	1291805
215	28509	1291393
216	28634	1290932
217	28762	1290630
218	28887	1290163
219	29001	1289238
220	29126	1288795
221	29253	1288454
222	29371	1287747
223	29495	1287289
224	29619	1286805
225	29746	1286489
226	29869	1285978
227	29990	1285370
228	30114	1284917
229	30244	1284720
230	30366	1284186
231	30492	1283822
232	30612	1283236
233	30731	1282598
234	30859	1282314
235	30972	1281440
236	31092	1280812
237	31216	1280401
238	31343	1280103
239	31465	1279602
240	31578	1278718
241	31701	1278284
242	31826	1277896
243	31953	1277599
244	32070	1276924
245	32203	1276895
246	32328	1276503
247	32455	1276237
248	32581	1275897
249	32700	1275300
250	32822	1274830
251	32946	1274459
252	33065	1273877
253	33182	1273199
254	33309	1272955
255	33427	1272330
256	33541	1271580
257	33660	1271011
258	33779	1270443
259	33899	1269939
260	34016	1269296
261	34137	1268814
262	34257	1268298
263	34376	1267759
264	34504	1267550
265	34624	1267035
266	34748	1266682
267	34872	1266347
268	34995	1265952
269	35119	1265586
270	35239	1265105
271	35366	1264857
272	35491	1264575
273	35614	1264182
274	35739	1263867
275	35860	1263423
276	35989	1263282
277	36124	1263304
278	36259	1263353
279	36395	1263449
280	36522	1263216
281	36662	1263413
282	36809	1263866
283	36938	1263706
284	37069	1263610
285	37193	1263262
286	37322	1263109
287	37470	1263573
288	37624	1264247
289	37754	1264136
290	37878	1263798
291	38007	1263609
292	38125	1263085
293	38244	1262585
294	38367	1262235
295	38488	1261788
296	38612	1261463
297	38736	1261134
298	38873	1261251
299	39015	1261485
300	39139	1261162
301	39269	1261043
302	39391	1260643
303	39518	1260440
304	39642	1260113
305	39768	1259867
306	39887	1259381
307	40010	1259031
308	40139	1258886
309	40263	1258567
310	40385	1258188
311	40515	1258054
312	40656	1258259
313	40779	1257926
314	40896	1257406
315	41029	1257371
316	41156	1257165
317	41274	1256679
318	41390	1256105
319	41511	1255713
320	41639	1255548
321	41767	1255374
322	41888	1254961
323	42014	1254721
324	42136	1254356
325	42260	1254074
326	42380	1253651
327	42503	1253336
328	42632	1253200
329	42764	1253122
330	42889	1252852
331	43005	1252333
332	43133	1252164
333	43255	1251808
334	43394	1251977
335	43541	1252332
336	43678	1252420
337	43814	1252470
338	43940	1252253
339	44065	1251971
340	44193	1251816
341	44321	1251630
342	44449	1251455
343	44563	1250897
344	44690	1250689
345	44815	1250417
346	44937	1250078
347	45063	1249863
348	45194	1249781
349	45323	1249635
350	45451	1249460
351	45585	1249454
352	45719	1249455
353	45842	1249139
354	45966	1248877
355	46091	1248625
356	46221	1248492
357	46348	1248301
358	46471	1247995
359	46601	1247880
360	46731	1247768
361	46857	1247555
362	46981	1247277
363	47107	1247066
364	47229	1246737
365	47358	1246585
366	47482	1246318
367	47610	1246141
368	47733	1245865
369	47863	1245741
370	48001	1245828
371	48140	1245948
372	48271	1245882
373	48399	1245708
374	48530	1245613
375	48663	1245585
376	48795	1245522
377	48914	1245121
378	49047	1245082
379	49193	1245380
380	49333	1245498
381	49465	1245444
382	49592	1245251
383	49738	1245546
384	49897	1246148
385	50040	1246344
386	50161	1246012
387	50294	1245957
388	50426	1245886
389	50573	1246191
390	50727	1246654
391	50870	1246838
392	51000	1246727
393	51128	1246554
394	51255	1246356
395	51382	1246156
396	51507	1245913
397	51638	1245802
398	51767	1245674
399	51895	1245480
400	52029	1245476
401	52156	1245267
402	52283	1245083
403	52406	1244786
404	52532	1244573
405	52662	1244444
406	52788	1244236
407	52921	1244176
408	53043	1243864
409	53158	1243391
410	53283	1243155
411	53408	1242911
412	53533	1242672
413	53661	1242517
414	53791	1242385
415	53913	1242080
416	54045	1242020
417	54174	1241860
418	54298	1241602
419	54418	1241264
420	54540	1240956
421	54671	1240857
422	54794	1240582
423	54920	1240381
424	55048	1240201
425	55171	1239938
426	55295	1239673
427	55412	1239271
428	55533	1238964
429	55656	1238677
430	55779	1238405
431	55904	1238184
432	56031	1238001
433	56155	1237740
434	56279	1237492
435	56405	1237292
436	56563	1237785
437	56701	1237848
438	56837	1237855
439	56977	1237963
440	57125	1238228
441	57248	1237965
442	57380	1237879
443	57505	1237671
444	57658	1238030
445	57799	1238148
446	57932	1238087
447	58080	1238352
448	58229	1238638
449	58350	1238331
450	58471	1238022
451	58596	1237789
452	58724	1237625
453	58855	1237518
454	58979	1237273
455	59098	1236913
456	59223	1236700
457	59346	1236437
458	59472	1236226
459	59606	1236181
460	59751	1236367
461	59889	1236420
462	60020	1236322
463	60174	1236684
464	60324	1236977
465	60474	1237257
466	60620	1237465
467	60763	1237609
468	60908	1237786
469	61108	1239070
470	61281	1239818
471	61442	1240305
472	61579	1240320
473	61717	1240336
474	61865	1240574
475	62021	1240960
476	62164	1241076
477	62302	1241106
478	62454	1241396
479	62594	1241449
480	62737	1241585
481	62877	1241630
482	63017	1241689
483	63157	1241750
484	63289	1241646
485	63448	1242083
486	63597	1242296
487	63734	1242296
488	63881	1242483
489	64014	1242404
490	64146	1242308
491	64282	1242270
492	64453	1242927
493	64587	1242854
494	64711	1242582
495	64836	1242356
496	64969	1242271
497	65104	1242207
498	65293	1243193
499	65416	1242904
500	65540	1242649
501	65683	1242759
502	65812	1242584
503	65932	1242261
504	66081	1242458
505	66246	1242967
506	66369	1242697
507	66495	1242473
508	66618	1242186
509	66742	1241925
510	66867	1241687
511	66994	1241499
512	67226	1243228
513	67384	1243598
514	67519	1243544
515	67663	1243650
516	67786	1243362
517	67906	1243026
518	68038	1242921
519	68186	1243097
520	68310	1242827
521	68433	1242545
522	68566	1242456
523	68693	1242249
524	68816	1241967
525	68945	1241804
526	69116	1242385
527	69256	1242413
528	69400	1242513
529	69538	1242506
530	69664	1242276
531	69784	1241946
532	69904	1241621
533	70036	1241512
534	70162	1241287
535	70284	1240995
536	70411	1240789
537	70537	1240563
538	70656	1240225
539	70776	1239896
540	70898	1239605
541	71031	1239509
542	71159	1239324
543	71288	1239156
544	71434	1239282
545	71565	1239153
546	71691	1238932
547	71816	1238701
548	71939	1238438
549	72067	1238245
550	72186	1237914
551	72309	1237651
552	72437	1237463
553	72569	1237347
554	72698	1237178
555	72832	1237100
556	72954	1236816
557	73080	1236605
558	73202	1236328
559	73329	1236132
560	73457	1235936
561	73587	1235796
562	73713	1235587
563	73836	1235323
564	73976	1235334
